NAME_OF_TOWN,STATE,TYPE,POPULATION
SAHJANWA,UTTAR PRADESH,N.P,25
SAIDPUR,UTTAR PRADESH,N.P,21
SAIHA,MIZORAM,N.T,19
SAILU,MAHARASHTRA,M.CL,39
SAINTHIA,WEST BENGAL,M,44
SAKALESHAPURA,KARNATAKA,T.M.C,23
SAKTI,CHHATTISGARH,N.P,20
SALAYA,GUJARAT,M,26
SALUR,ANDHRA PRADESH,M,48
SAMALKHA,HARYANA,M.C,29
SAMALKOT,ANDHRA PRADESH,M,53
SAMANA,PUNJAB,M.CL,46
SAMASTIPUR,BIHAR,UA,61
SAMBHAR,RAJASTHAN,M,22
SAMDHAN,UTTAR PRADESH,N.P,25
SAMTHAR,UTTAR PRADESH,M.B,20
SANAND,GUJARAT,M,32
SANAWAD,MADHYA PRADESH,M,34
SANCHORE,RAJASTHAN,M,25
SANIVARAPUPETA,ANDHRA PRADESH,C.T,8
SARSOD,HARYANA,G.P,4
SINDAGI,KARNATAKA,T.M.C.,23
SANDI,UTTAR PRADESH,M.B,23
SANDILA,UTTAR PRADESH,M.B,48
SANDURU,KARNATAKA,T.P,27
SANGAMNER,MAHARASHTRA,M.CL,61
SANGAREDDY,TELANGANA,M,57
SANGARIA,RAJASTHAN,M,34
SANGOLE,MAHARASHTRA,M.CL,28
SANGRUR,PUNJAB,M.CL,77
SANKARANKOVIL,TAMIL NADU,M,70
SANKARI,TAMIL NADU,T.P,27
SANKESHWARA,KARNATAKA,T.M.C,32
SARANGPUR,MADHYA PRADESH,M,32
SARDARSHAHAR,RAJASTHAN,M,81
SARDHANA,UTTAR PRADESH,M.B,48
SARNI,MADHYA PRADESH,M,95
SARSAWA,UTTAR PRADESH,M.CL,18
SASVAD,MAHARASHTRA,M.CL,26
SATANA,MAHARASHTRA,M.CL,32
SATHYAMANGALAM,TAMIL NADU,M,33
SATRAMPADU,ANDHRA PRADESH,C.T.,6
SATTENAPALLE,ANDHRA PRADESH,M,51
SATTUR,TAMIL NADU,M,31
SAUNDA,JHARKHAND,C.T,85
SAUNDATTI-YELLAMMA,KARNATAKA,T.M.C,38
SAUSAR,MADHYA PRADESH,N.P,24
SAVARKUNDLA,GUJARAT,M,73
SAVANUR,KARNATAKA,T.M.C,35
SAVNER,MAHARASHTRA,M.CL,26
SAWANTWADI,MAHARASHTRA,M.CL,22
SEDAM,KARNATAKA,T.M.C,31
SEHORE,MADHYA PRADESH,UA,92
SENDHWA,MADHYA PRADESH,M,48
SEOHARA,UTTAR PRADESH,UA,47
SEONI,MADHYA PRADESH,M,89
SEONI-MALWA,MADHYA PRADESH,M,26
SHAHABAD,KARNATAKA,UA,66
SHAHABAD, HARDOI,UTTAR PRADESH,M.B
SHAHABAD, RAMPUR,UTTAR PRADESH,N.P
SHAHADE,MAHARASHTRA,M.CL,49
SHAHBAD,HARYANA,M.C,37
SHAHDOL,MADHYA PRADESH,M,78
SHAHGANJ,UTTAR PRADESH,M.B,24
SHAHPUR,KARNATAKA,T.M.C,38
SHAHPURA,RAJASTHAN,M,28
SHAHPURA,RAJASTHAN,M,27
SHAJAPUR,MADHYA PRADESH,UA,57
SHAKTIGARH,UTTARAKHAND,N.P,6
SHAMGARH,MADHYA PRADESH,N.P,21
SHAMLI,UTTAR PRADESH,M.B,90
SHAMSABAD, AGRA,UTTAR PRADESH,M.B
SHAMSABAD, FARRUKHABAD,UTTAR PRADESH,N.P
SHEGAON,MAHARASHTRA,M.CL,52
SHEIKHPURA,BIHAR,M,43
SHENDURJANA,MAHARASHTRA,M.CL,21
SHENKOTTAI,TAMIL NADU,M,26
SHEOGANJ,RAJASTHAN,M,24
SHEOHAR,BIHAR,N.A,21
SHEOPUR,MADHYA PRADESH,UA,58
SHERGHATI,BIHAR,N.A,32
SHERKOT,UTTAR PRADESH,M.B,52
SHIGGAON,KARNATAKA,T.P,24
SHIKARIPUR,KARNATAKA,T.M.C,31
SHIKARPUR, BULANDSHAHR,UTTAR PRADESH,M.B
SHIKOHABAD,UTTAR PRADESH,M.B,88
SHIRDI,MAHARASHTRA,M.CL,26
SHIRPUR-WARWADE,MAHARASHTRA,M.CL,61
SHIRUR,MAHARASHTRA,M.CL,26
SHISHGARH,UTTAR PRADESH,N.P,20
SHOLAVANDAN,TAMIL NADU,T.P,21
SHOLINGUR,TAMIL NADU,T.P,26
SHORANUR,KERALA,M,42
SURAPURA,KARNATAKA,T.M.C,43
SHRIGONDA,MAHARASHTRA,M.CL,26
SHRIRAMPUR,MAHARASHTRA,UA,88
SHRIRANGAPATTANA,KARNATAKA,T.M.C,23
SHUJALPUR,MADHYA PRADESH,M,42
SIANA,UTTAR PRADESH,M.B,38
SIBSAGAR,ASSAM,M.B,53
SIDDIPET,TELANGANA,M,61
SIDHI,MADHYA PRADESH,M,45
SIDHPUR,GUJARAT,UA,58
SIDLAGHATTA,KARNATAKA,T.M.C,41
SIHOR,GUJARAT,M,46
SIHORA,MADHYA PRADESH,M,37
SIKANDERPUR,UTTAR PRADESH,N.P,21
SIKANDRA RAO,UTTAR PRADESH,M.B,37
SIKANDRABAD,UTTAR PRADESH,M.B,69
SILAO,BIHAR,N.A,20
SILAPATHAR,ASSAM,T.C,22
SILLOD,MAHARASHTRA,M.CL,43
SILVASSA*,DADRA AND NAGAR HAVELI,C.T,21
SIMDEGA,JHARKHAND,N.A,33
SINDHAGI,KARNATAKA,T.M.C,27
SINDHNUR,KARNATAKA,T.M.C,61
SINNAR,MAHARASHTRA,M.CL,31
SIRA,KARNATAKA,T.M.C,50
SIRCILLA,TELANGANA,M,65
SIRHIND FATEHGARH SAHIB,PUNJAB,M.CL,49
SIRKALI,TAMIL NADU,M,32
SIROHI,RAJASTHAN,M,35
SIRONJ,MADHYA PRADESH,M,42
SIRSAGANJ,UTTAR PRADESH,UA,28
SIRSI,KARNATAKA,UA,65
SIRSI,UTTAR PRADESH,N.P,21
SIRUGUPPA,KARNATAKA,T.P,42
SITAMARHI,BIHAR,UA,87
SITARGANJ,UTTARAKHAND,N.P.P,29
SIVAGANGA,TAMIL NADU,UA,40
SIVAGIRI,TAMIL NADU,T.P,20
SOHAGPUR,MADHYA PRADESH,N.P,22
SOHNA,HARYANA,M.C,27
SOJAT,RAJASTHAN,M,38
SOLAN,HIMACHAL PRADESH,M.CL,34
SONAMUKHI,WEST BENGAL,M,27
SONEPUR,BIHAR,N.A,33
SONGADH,GUJARAT,M,22
SOPORE,JAMMU AND KASHMIR,UA,66
SORO,ODISHA,N.A.C,27
SORON,UTTAR PRADESH,M.B,26
SOYAGAON,MAHARASHTRA,C.T,21
SRI MADHOPUR,RAJASTHAN,M,51
SRIKALAHASTI,ANDHRA PRADESH,M,70
SRINIVASPUR,KARNATAKA,T.P,22
SRISAILAM (RFC) TOWNSHIP,ANDHRA PRADESH,C.T,23
SRIRAMPORE,WEST BENGAL,,19
SRIVILLIPUTHUR,TAMIL NADU,M,73
SUAR,UTTAR PRADESH,M.B,26
SUGAULI,BIHAR,N.A,31
SUJANGARH,RAJASTHAN,M,83
SUJANPUR,PUNJAB,M.CL,21
SULTANGANJ,BIHAR,N.A,41
SULTANPUR,UTTARAKHAND,N.P,9
SULLURPETA,ANDHRA PRADESH,M,75
SUMERPUR,RAJASTHAN,M,31
SUMERPUR,UTTAR PRADESH,N.P,24
SUNABEDA,ODISHA,N.A.C,58
SUNAM,PUNJAB,UA,56
SUNDARGARH,ODISHA,M,38
SUNDARNAGAR,HIMACHAL PRADESH,M.CL,23
SUPAUL,BIHAR,M,54
SURANDAI,TAMIL NADU,T.P,28
SURATGARH,RAJASTHAN,M,58
SURI,WEST BENGAL,M,61
SURIYAMPALAYAM,TAMIL NADU,T.P,21
TAKHATGARH,RAJASTHAN,M,16
TAKI,WEST BENGAL,M,38
TALAJA,GUJARAT,M,27
TALCHER,ODISHA,M,40
TALEGAON DABHADE,MAHARASHTRA,M.CL,56
TALIPARAMBA,KERALA,M,72
TALODE,MAHARASHTRA,M.CL,26
TALWARA,PUNJAB,C.T,19
TAMLUK,WEST BENGAL,M,65
TANAKPUR,UTTARAKHAND,N.P.P,17
TANDA,UTTAR PRADESH,M.B,95
TANDUR,TELANGANA,M,65
TANUKU,ANDHRA PRADESH,M,72
TARAKESWAR,WEST BENGAL,M,30
TARANA,MADHYA PRADESH,N.P,24
TARANAGAR,RAJASTHAN,M,32
TARAORI,HARYANA,M.C.,25
TARBHA,ODISHA,N.A.C.,8
TARIKERE,KARNATAKA,T.M.C.,35
TARN TARAN,PUNJAB,M.CL,66
TASGAON,MAHARASHTRA,M.CL,37
TEHRI,UTTARAKHAND,N.P.P.,24
TEKKALAKOTE,KARNATAKA,T.P.,26
TENKASI,TAMIL NADU,M,70
TENU DAM-CUM-KATHHARA,JHARKHAND,C.T.,22
TERDAL,KARNATAKA,T.M.C.,26
TEZPUR,ASSAM,M.B.,58
THAKURDWARA,UTTAR PRADESH,N.P.P.,44
THAMMAMPATTI,TAMIL NADU,T.P.,21
THANA BHAWAN,UTTAR PRADESH,N.P.,36
THANGADH,GUJARAT,M,42
THARAD,GUJARAT,M,27
THARAMANGALAM,TAMIL NADU,T.P,30
THARANGAMBADI,TAMIL NADU,T.P,23
THENI ALLINAGARAM,TAMIL NADU,M,94
THIRUMANGALAM,TAMIL NADU,M,51
THIRUPUVANAM,TAMIL NADU,T.P,14
THIRUTHURAIPOONDI,TAMIL NADU,M,24
THIRUVALLA,KERALA,M,52
THIRUVALLUR,TAMIL NADU,M,56
THIRUVARUR,TAMIL NADU,M,58
THODUPUZHA,KERALA,M,52
THOUBAL,MANIPUR,M.CL,45
THRIPPUNITHURA,KERALA,M,61
THRISSUR,KERALA,M,61
THURAIYUR,TAMIL NADU,M,32
TIKAMGARH,MADHYA PRADESH,M,79
TILDA NEWRA,CHHATTISGARH,M,32
TILHAR,UTTAR PRADESH,N.P.P.,61
TALIKOTA,KARNATAKA,T.M.C.,31
TINDIVANAM,TAMIL NADU,M,72
TINSUKIA,ASSAM,M.B.,99
TIPTUR,KARNATAKA,C.M.C,59
TIRORA,MAHARASHTRA,M.CL,25
TIRUCHENDUR,TAMIL NADU,TP,32
TIRUCHENGODE,TAMIL NADU,M,95
TIRUKALUKUNDRAM,TAMIL NADU,T.P,29
TIRUKKOYILUR,TAMIL NADU,T.P,30
TIRUPATHUR,TAMIL NADU,T.P,25
TIRUPATHUR,TAMIL NADU,M,64
TIRUPPUR,TAMIL NADU,U.A,64
TIRUR,KERALA,M,100
TIRUTTANI,TAMIL NADU,M,44
TIRUVETHIPURAM,TAMIL NADU,M,37
TIRUVURU,ANDHRA PRADESH,M,37
TIRWAGANJ,UTTAR PRADESH,N.P,24
TITLAGARH,ODISHA,NAC,31
TITTAKUDI,TAMIL NADU,T.P,22
TODABHIM,RAJASTHAN,M,22
TODARAISINGH,RAJASTHAN,M,23
TOHANA,HARYANA,M.C,63
TUENSANG,NAGALAND,T.C,36
TULJAPUR,MAHARASHTRA,M.CL,34
TULSIPUR,UTTAR PRADESH,N.P,24
TUMSAR,MAHARASHTRA,M.CL,44
TUNDLA,UTTAR PRADESH,NPP,50
TUNI,ANDHRA PRADESH,M,53
TURA,MEGHALAYA,M,74
THANE,MAHARASHTRA,TNA,11
UCHGAON,MAHARASHTRA,C.T,31
UDAIPUR,TRIPURA,M.CL,32
UDAIPURWATI,RAJASTHAN,M,29
UDHAGAMANDALAM,TAMIL NADU,M,88
UDHAMPUR,JAMMU AND KASHMIR,UA,35
UDUMALAIPETTAI,TAMIL NADU,M,61
UJHANI,UTTAR PRADESH,N.P.P.,62
UMARGA,MAHARASHTRA,M.CL,35
UMARIA,MADHYA PRADESH,M,33
UMARKHED,MAHARASHTRA,M.CL,47
UMBERGAON,GUJARAT,M,27
UMRED,MAHARASHTRA,M.CL,53
UMRETH,GUJARAT,M,33
UNA,GUJARAT,M,58
UNJHA,GUJARAT,M,57
UNNAMALAIKADAI,TAMIL NADU,T.P,23
UPLETA,GUJARAT,M,58
URAN,MAHARASHTRA,M.CL,30
URAN ISLAMPUR,MAHARASHTRA,M.CL,67
URAVAKONDA,ANDHRA PRADESH,C.T,35
URMAR TANDA,PUNJAB,M.CL,23
USILAMPATTI,TAMIL NADU,M,35
UTHAMAPALAYAM,TAMIL NADU,T.P,29
UTHIRAMERUR,TAMIL NADU,T.P,25
UTRAULA,UTTAR PRADESH,N.P.P.,32
UTTARKASHI,UTTARAKHAND,N.P.P.,17
VADGAON KASBA,MAHARASHTRA,M.CL.,25
VADIPATTI,TAMIL NADU,T.P,26
VADNAGAR,GUJARAT,M,27
VAIJAPUR,MAHARASHTRA,M.CL,41
VAIKOM,KERALA,M,23
VALPARAI,TAMIL NADU,M,70
VANDAVASI,TAMIL NADU,M,31
VANIYAMBADI,TAMIL NADU,M,95
VAPI,GUJARAT,I.N.A,34
VARANDARAPPILLY,KERALA,T.P,27
VARKALA,KERALA,M,40
VATAKARA,KERALA,M,75
VEDARANYAM,TAMIL NADU,M,34
VELLAKOIL,TAMIL NADU,M,40
VENKATAGIRI,ANDHRA PRADESH,M,51
VIJAPUR,GUJARAT,M,25
VIJAYPUR,MADHYA PRADESH,N.P.,16
VIJAYAPURA,KARNATAKA,T.M.C.,34
VIKARABAD,TELANGANA,M,53
VIKASNAGAR,UTTARAKHAND,N.P.P.,13
VIKRAMASINGAPURAM,TAMIL NADU,M,47
VILUPPURAM,TAMIL NADU,M,96
VINUKONDA,ANDHRA PRADESH,M,59
VIRAMGAM,GUJARAT,M,55
VIRUDHACHALAM,TAMIL NADU,M,73
VIRUDHUNAGAR,TAMIL NADU,M,72
VISNAGAR,GUJARAT,M,63
VISWANATHAM,TAMIL NADU,C.T,25
VITA,MAHARASHTRA,M.CL,48
VRINDAVAN,UTTAR PRADESH,M.B,63
VYARA,GUJARAT,M,39
