NAME_OF_TOWN,STATE,TYPE,POPULATION
KADIRI,ANDHRA PRADESH,M,89
KAGAZNAGAR,TELANGANA,M,57
KAILASAHAR,TRIPURA,N.P,20
KALADHUNGI,UTTARAKHAND,N.P,7
KALLAKURICHI,TAMIL NADU,M,1
KALIMPONG,WEST BENGAL,M,42
KALPI,UTTAR PRADESH,NPP,51
KAMAREDDY,TELANGANA,M,80
KANIGIRI,ANDHRA PRADESH,M,37
KANDUKUR,ANDHRA PRADESH,M,57
KANHANGAD,KERALA,M,73
KANNUR,KERALA,M,56
KAPADVANJ,GUJARAT,M,49
KARAIKAL,PUDUCHERRY,M,86
KARIMGANJ,ASSAM,M.B,56
KARJAT,MAHARASHTRA,M.CL,29
KARNAPRAYAG,UTTARAKHAND,N.P,8
KARUR,TAMIL NADU,M,70
KASARAGOD,KERALA,M,54
KATHUA,JAMMU AND KASHMIR,M.CL,51
KAVALI,ANDHRA PRADESH,M,82
KAYAMKULAM,KERALA,M,68
KEDARNATH,UTTARAKHAND,N.P,612
KELA KHERA,UTTARAKHAND,N.P,10
KENDRAPARA,ODISHA,M,47
KENDUJHAR,ODISHA,M,60
KESHOD,GUJARAT,M,76
KHAMBHAT,GUJARAT,M,83
KHANDA,HARYANA,M,12
KHARAR,PUNJAB,M.CL,74
KHATIMA,UTTARAKHAND,N.P.P,15
KHOWAI,TRIPURA,M.CL,18
KICHHA,UTTARAKHAND,N.P.P,41
KIRTINAGAR,UTTARAKHAND,N.P,1
KODUNGALLUR,KERALA,M,33
KOHIMA*,NAGALAND,M.C,99
KORATLA,TELANGANA,M,66
KOT KAPURA,PUNJAB,M.CL,91
KOTDWAR,UTTARAKHAND,N.P.P,28
KOTHAGUDEM,TELANGANA,M,79
KOTTAYAM,KERALA,M,55
KOVVUR,ANDHRA PRADESH,M,39
KUNNAMKULAM,KERALA,M,54
KYATHAMPALLE,TELANGANA,C.T,32
KUMARGANJ,UTTAR PRADESH,C.T,
